Judul,Industri,Tipe,Kategori,Tanggal_Post,Berlaku_Hingga,Perusahaan,Website_Perusahaan,Logo_Perusahaan,Alamat,Kota,Provinsi,Negara,Latitude,Longitude,Gaji_Min,Gaji_Max,Gaji_Currency,Gaji_Unit,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi,Tentang_Perusahaan,Benefit,Apply_Langsung,Link,Gaji_Min_Clean,Gaji_Max_Clean,Gaji_Rata_Rata
IT Business Analyst,Information Technology and Services,FULL_TIME,System Analyst,2025-04-30T04:48:42.174Z,2026-05-03,PT Venturium System Indonesia,http://www.vensys.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7708a6ac23c3a541ca61b0754b8739ca.png,JL Utan Kayu Raya No 14,Jakarta Timur,DKI Jakarta,ID,-6.20417,106.86528,Tidak ada,Tidak ada,Tidak ada,Tidak ada,"SQL, Business Analysis, Relational Databases, System Analysis, Analytical Skills, SDLC",36.0,bachelor degree,"Job description 
 
 Evaluating and documenting business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. 
 Conducting meetings and presentations to share ideas and findings. 
 Performing requirements analysis. 
 Working closely with clients, technical/programer, and project manager 
 Create Business Requirement documents and Functional Specification Document 
 
 
 Qualification 
 Minimum Bachelor’s Degree in Business ot  IT from reputable university 
 
 Minimum 2 (two) year experience as Business Analyst or Functional Analyst 
 Having good knowledge of Software Development Life Cycle  (SDLC) 
 Excellent documentation skills. 
 Excellent analytical, judgment and problem solving skills 
 High quality analysis including business process and system analysis. 
 Good communication and people management as well as interpersonal skills Demonstrate high service attitude 
 Proactive, full of initiative and able to work efficiently and cooperatively within a team environment 
 Highly motivated, disciplined and able to work under pressure with minimum supervision",Tidak ada,Tidak ada,True,https://glints.com/id/opportunities/jobs/it-business-analyst/be1e9fa0-f603-4f58-8c99-9a5bd1aa2754,,,
IT System Analyst,Information Technology and Services,FULL_TIME,System Analyst,2026-03-31T08:57:24.429Z,2026-05-01,Integrasi Optimal Visitama (IOV),https://iov.co.id/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f8d0680d141ef3f0bf06836c0de5180c.png,Surabaya,Surabaya,Jawa Timur,ID,-7.32,112.79694,7000000.0,9000000.0,IDR,MONTH,"Requirements Analysis, SQL, Business Analysis, SDLC, Stakeholder Management, Cloud Platform System, Teamwork, System Analysis",12.0,bachelor degree,"General Qualification : 
 
 Man (23 - 35 years old) 
 Education min. S1 (Information Technology/Information System/Computer System) 
 Minimum 1-3 years of experience in IT coordination, business partnering, or similar roles. 
 Strong understanding of IT service management, project management, and technology roadmaps. 
 Strong communication, collaboration and stakeholder management skills. 
 Fluent in Bahasa Indonesia and English (written and spoken). 
 Will to work located in Surabaya 
 
 
 Specific Qualification : 
 
 SQL Query/Tuning Basic 
 Programming Language (Laravel) (Basic) 
 Understand Client-Server and networking concept (Basic) 
 IT Service management knowledge (Basic) 
 Familiar with Report Development (SSRS, PowerBI) will be a plus (Basic) 
 Good Documentation Practices (GDP) Knowledge will be a plus (Basic)",Integrasi Optimal Visitama (IOV) bergerak dibidang IT yang berlokasi di Surabaya,"medical coverage, bpjs tenaga kerja insurance and health, perform bonus financial benefits, thr financial benefits",True,https://glints.com/id/opportunities/jobs/it-system-analyst/50eeb711-b371-4281-a8df-d8623e9e2d18,7000000.0,9000000.0,8000000.0
IT Business Analyst - Insurance exp,Information Technology and Services,CONTRACTOR,Business Analyst,2025-06-04T04:13:18.761Z,2026-05-06,PT Sigma Global Teknologi,https://www.sigma-tech.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,"Sona Topas Tower Lt. 12, Jl. Jend. Sudirman, RT.4/RW.2, Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,DKI Jakarta,ID,-6.21944,106.82917,13000000.0,14500000.0,IDR,MONTH,"SDLC, Life Insurance, Teamwork, Business Process Improvement, Business Analysis",36.0,bachelor degree,"Skill And Experience : 
 - Understand the Basic Life Insurance business rule and process :  3 years of Business Analyst experiences 
 - Good knowledge on SDLC and has implemented full cycle of software develop 
 - Has experience in handling application (front end, integration, or core application) that related to insurance process. 
 - Has experience in L400/Lifeasia/Other insurance system and experience in product setup 
 - Has experience in SQL (DML command) 
 - Has experience in requirement gathering as part of Business Requirement/Functional 
 Spec. Document creation 
 - Able to create business/functional process flowcharts or workflow diagrams 
 - Able to create scenario test","SIGMATECH is the enterprise technology partner of choice for software development, delivering a broad range of web, mobile, and desktop controls coupled with a service-oriented approach throughout the entire application life cycle. 
 SIGMATECH consists of highly skilled developers specializing in agile development methodology, focusing on Mobile & Web Solution, IT Services and business enterprise, utilizing modern programming languages as our platform. SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from global insurance companies, government agencies and large consumer product manufacturers. 
 Our Vision : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 Our Mission : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide",Tidak ada,True,https://glints.com/id/opportunities/jobs/it-business-analyst---insurance-exp/b0a70be2-07af-461a-a82c-34bc498edede,13000000.0,14500000.0,13750000.0
IT Business Analyst (for Insurance industry),Information Technology and Services,CONTRACTOR,Business Analyst,2025-02-03T09:07:51.181Z,2026-04-30,PT Sigma Global Teknologi,https://www.sigma-tech.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,"Sona Topas Tower Lt. 12, Jl. Jend. Sudirman, RT.4/RW.2, Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,DKI Jakarta,ID,-6.21944,106.82917,5000000.0,7500000.0,IDR,MONTH,"Csm, SQL, Insurance, Group Asia, SDLC, Life 400, Cbap",36.0,bachelor degree,"Understand the Basic Life Insurance business rule and process 
 Have a good analyticall skill 
 Good knowlegde on SLDC and has implemented full cyle of software develop 
 Experience in handling application (frontend, integration, or core application) that related to insurance process 
 Has experience in Life400 or Group Asia Insurance system is a plus  
 Min Bachelor degree IT / Engineering / Science related study 
 Min 3-5 years experience","SIGMATECH is the enterprise technology partner of choice for software development, delivering a broad range of web, mobile, and desktop controls coupled with a service-oriented approach throughout the entire application life cycle. 
 SIGMATECH consists of highly skilled developers specializing in agile development methodology, focusing on Mobile & Web Solution, IT Services and business enterprise, utilizing modern programming languages as our platform. SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from global insurance companies, government agencies and large consumer product manufacturers. 
 Our Vision : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 Our Mission : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide",Tidak ada,True,https://glints.com/id/opportunities/jobs/it-business-analyst-(for-insurance-industry)/1eeeaab8-9401-454e-822a-d5c7d1219afd,5000000.0,7500000.0,6250000.0
Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,https://glints.com/id/opportunities/jobs/it-business-analyst-(banking/financial)---prefer-asap/a92c6cc5-3689-45ad-8141-997dd3b3b3dd,,,
IT Business Analyst - ASAP (WFO Jakarta Area),Information Technology and Services,CONTRACTOR,Business Analyst,2025-06-25T09:28:33.377Z,2026-04-23,PT Sigma Global Teknologi,https://www.sigma-tech.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,"Sona Topas Tower Lt. 12, Jl. Jend. Sudirman, RT.4/RW.2, Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,DKI Jakarta,ID,-6.21944,106.82917,8000000.0,10000000.0,IDR,MONTH,"Business Analysis, Project Management, IT Management, SDLC",36.0,professional certificate,"Sigmatech – Your Digital Growth Solution Partner! We're hiring! 
 
 On behalf of our client, we are currently hiring for a position as detailed below: 
 IT Business Analyst 
  (Financial, Banking, and Related Projects – ASAP, On-Site Jakarta Area) 
 
 Job Description 
 
 Gather, analyze, and translate business requirements into functional specifications and documentation (e.g., BRD, FSD). 
 Act as a liaison between business stakeholders and technical teams to ensure alignment throughout the project lifecycle. 
 Support the development team during implementation and coordinate with QA during testing phases, including UAT and SIT. 
 Conduct gap analysis, workflow design, and contribute to process improvements within financial and banking systems. 
 Monitor project progress and ensure deliverables meet user expectations, budget, and timeline constraints. 
 
 
 Qualifications 
 
 Bachelor's degree in Information Systems, Computer Science, or related field. 
 Minimum 3+ years of experience as a Business Analyst, preferably in financial or banking industries. 
 Strong knowledge of SDLC, Agile methodology, and tools such as Jira, Confluence, or similar platforms. 
 Proven experience in requirement gathering, process mapping, and documentation. 
 Excellent communication, analytical thinking, and stakeholder management skills. 
 
 
 Only shortlisted candidates will be contacted. Thank you.","SIGMATECH is the enterprise technology partner of choice for software development, delivering a broad range of web, mobile, and desktop controls coupled with a service-oriented approach throughout the entire application life cycle. 
 SIGMATECH consists of highly skilled developers specializing in agile development methodology, focusing on Mobile & Web Solution, IT Services and business enterprise, utilizing modern programming languages as our platform. SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from global insurance companies, government agencies and large consumer product manufacturers. 
 Our Vision : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 Our Mission : 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide 
 To be the most reputable and dependable growth solution partner both for IT Professional Talents and Client's Businesses worldwide",Tidak ada,True,https://glints.com/id/opportunities/jobs/it-business-analyst---asap-(wfo-jakarta-area)/3b74d3e5-852c-4c6f-a9e1-4e59d45b203d,8000000.0,10000000.0,9000000.0
Software Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,2026-01-23T08:49:46.878Z,2026-04-26,PT Rank Media Teknologi,http://rank.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/accd7d5b5adb667684c616780218d48a.png,"Jl. Jenggala 48 Gedangan, Sidoarjo, 61254, ID",Sidoarjo,Jawa Timur,ID,-7.39167,112.72972,4500000.0,6500000.0,IDR,MONTH,"MySQL, React.js, jQuery, HTML, Laravel, CLOUDFLARE, CDN, Jwt, PHP, JavaScript, Tailwind, GIT, Linux Server, Node.js, CSS, REST API",12.0,bachelor degree,"Software Developer 
 
 PT Rank Media Teknologi  membuka kesempatan bagi talenta IT untuk bergabung sebagai Software Developer. Posisi ini berfokus pada pengembangan aplikasi berbasis web menggunakan framework modern serta mendukung pengembangan sistem dan aplikasi lintas platform. 
 
 Tanggung Jawab Utama 
 
 Mengembangkan dan memelihara aplikasi web dan sistem internal perusahaan. 
 Merancang dan mengimplementasikan fitur backend maupun frontend. 
 Mengintegrasikan  REST API  dan database relasional. 
 Berkolaborasi dengan tim untuk memastikan kualitas dan performa aplikasi web. 
 Menerapkan praktik keamanan aplikasi web. 
 
 
 Kualifikasi Umum 
 
 Pendidikan minimal  Sarjana (S1) . 
 Pengalaman minimal  1 tahun  sebagai Software Developer/Web Developer. 
 Menguasai  HTML ,  CSS , dan  JavaScript . 
 Memiliki pengalaman  backend  dan/atau  frontend  development. 
 Menguasai minimal satu framework ( Laravel ,  CodeIgniter ,  Tailwind , atau  sejenisnya ). 
 Memahami konsep  OOP ,  REST API , dan database ( MySQL/PostgreSQL ). 
 Terbiasa menggunakan  Git . 
 Memahami dasar keamanan web ( authentication ,  authorization ,  validasi input ). 
 
 
 Kualifikasi Personal 
 
 Mampu bekerja  mandiri  maupun dalam  tim . 
 Memiliki kemampuan  analisis  dan  problem solving  yang baik. 
 Memiliki kemauan belajar dan mengikuti perkembangan teknologi. 
 Mempunyai  portofolio  (website) yang dapat dipresentasikan. 
 
 
 Nilai Tambah (Opsional) 
 
 Pengalaman menggunakan  React ,  Vue , atau  Next.js 
 Pengalaman mengembangkan  aplikasi mobile  atau  sistem internal . 
 Memahami  server Linux  dan proses deployment (VPS/on-premise) 
 Memiliki pengalaman atau minat pada pengembangan berbasis AI 
 Pengalaman integrasi Auth ( JWT ,  OAuth ) 
 Menguasai  tools desain grafis  menjadi nilai tambah","We are a company that focus on building commercial websites and interactive applications management. We provide the best solutions to meet every customer desire concerning looking for the best products, promotions, affordable prices, and every market information through developing digital content and online data, social media promotion, and every aspect in the digital world especially publishing and digital marketing.","yearly bonus financial benefits, bpjs tenaga kerja insurance and health, user defined, medical coverage, thr financial benefits, career growth, dormitory non financial benefits",True,https://glints.com/id/opportunities/jobs/software-developer/fcad4f0f-5a68-44bb-a325-025f2ae8ee27,4500000.0,6500000.0,5500000.0
Software Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,2026-03-26T02:20:25.037Z,2026-04-26,Abishar Technologies,http://abishar.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/17d06eb67d082b8b5382e83c398b8ad6.png,Tidak ada,Tangerang,Banten,ID,-6.29583,106.62083,6000000.0,8000000.0,IDR,MONTH,"SQL, React.js, Go / Golang",12.0,bachelor degree,"Our client : Banking Industry located in BSD Tangerang (Full WFO) is looking fullstack 
 
 With Requirement bellow : 
 Minimum Bachelor degree of IT/engineering/science related study 
 Minimum 1 years experience as a Developer 
 Familiar with React Js, & Golang 
 Strong analytical and problem-solving skills Ability to work independently and in a team environment Experience as a full stack developer Hands on experience with Go for API development Hands on experience with React.js for front end development Experience with Git, CI/CD pipelines and containerized environments (Docker, Kubernetes) Understanding microservices architecture, REST API and Async processing Understanding of event streaming (Kafka) Understanding database (Microsoft SQL, Oracle, Postgres) Basic understanding of payment ecosystem is a plus","We are a Technology focused company, with a mission to assist our Customers to unleash the power of business transformation through effective use of latest technology.","thr financial benefits, bpjs tenaga kerja insurance and health, medical coverage",True,https://glints.com/id/opportunities/jobs/software-developer/a962cf8b-02e0-469d-aebe-fa01842c4bdf,6000000.0,8000000.0,7000000.0
Software Developer,Information Technology and Services,INTERN,Mobile Developer,2026-04-07T05:48:10.837Z,2026-05-08,Soloosi,Tidak ada,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/86343c140ff1f5ac7cba03d7915b72ce.png,Tidak ada,Surabaya,Jawa Timur,ID,-7.26861,112.69806,1000000.0,2000000.0,IDR,MONTH,"Mobile App Development, REST API, Flutter",Tidak ada,professional certificate,"📱 We’re Hiring: Mobile Apps Developer (Android & iOS) 
 🕒 Internship | Open for Fresh Graduates & Final-Year Students 
 
 PT Tumbuh Solusi Digital (Soloosi) is looking for a Mobile Apps Developer to build and maintain applications for both Play Store and App Store. 
 
 📍 Work Arrangement 
  • Hybrid (WFO 1x/week in Surabaya) 
  • Preferably based in Surabaya, Malang, or East Java area 
 
 🔎 What You’ll Do : 
 • Develop and maintain mobile applications (Android & iOS) 
 • Integrate mobile apps with backend APIs 
 • Ensure performance, usability, and stability of applications 
 • Identify and fix bugs based on testing and user feedback 
 • Collaborate with backend and design teams 
 • Manage app deployment and updates to app stores 
 
 🎯 What We’re Looking For : 
 • Degree in Computer Science, IT, or relevant field (or equivalent experience) 
 • Experience with Flutter 
 • Understanding of REST API integration 
 • Familiar with mobile app lifecycle and best practices 
 • Experience publishing apps to Play Store / App Store is a plus 
 • Detail-oriented and proactive problem solver","PT Tumbuh Solusi Digital (Soloosi) is a software house that provides custom web and mobile application development services, helping businesses build scalable and tailored digital solutions.",Tidak ada,True,https://glints.com/id/opportunities/jobs/software-developer/e67c03f1-c287-4551-9455-9e35da41d487,1000000.0,2000000.0,1500000.0
IT Software Developer Supervisor,Pharmaceuticals,FULL_TIME,Full Stack Developer,2026-01-28T04:04:35.97Z,2026-05-01,EAGLE INDO PHARMA,https://eglinpharma.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f8c04b21fba4c082d8fe123ac85213e2.png,"PT. EAGLE INDO PHARMA

JL. PRABU SILIWANGI KM. 1 RT. 001 RW. 004

ALAM JAYA JATIUWUNG

KOTA TANGERANG BANTEN, 15133

INDONESIA",Tangerang,Banten,ID,-6.19861,106.575,Tidak ada,Tidak ada,Tidak ada,Tidak ada,"SQL, Next.Js, JavaScript, MySQL, Restful API, React.js, C#, SAP",12.0,bachelor degree,"Qualifications :  
 1. Bachelor’s degree (S1) in Information Technology, Information Systems, or a related field 
 2. Minimum 2 - 3 years of experience as a Software Developer 
 3. Strong proficiency in C# and/or Java 
 4. Solid experience with SQL, including: CRUD operations, Views, Functions, Stored Procedures 
 5. Familiar with API development and integration (RESTful APIs preferred) 
 6. Experience as a technical ERP resource, especially SAP Business One / Oracle Netsuit / Dynamics 365, is a strong plus 
 7. Frontend knowledge such as React and Next.js is a plus 
   
 Additional Preferred Qualifications (Suggested) : 
 1. Experience in leading or mentoring developers 
 2. Understanding of software architecture, design patterns, and best practices 
 3. Experience with code reviews and enforcing coding standards 
 4. Knowledge of security best practices for backend systems 
 5. Good problem-solving, communication, and documentation skills","Established since 1973, PT. EAGLE INDO PHARMA or more widely known as CAP LANG has undergone continuous transformations until it became the existing company. CAP LANG consistently serves and improves public health by providing high quality, effective, and safe OTC (Over the Counter) pharmaceutical products. 
 CAP LANG is the market leader in various product category and class, specifically the rubs & balm category, such as: CAP LANG CAJUPUT OIL, GELIGA MUSCLE BALM, LANG BALM, LANG AROMATIC OIL, LANG MEDICATED OIL, GOSOK PIJAT URUT (GPU) MASSAGE OIL, etc. It is proven by various achievements, e.g.: ICSA, TOP BRAND, BEST BRAND, MURI (Indonesian Records Museum) award, and other awards.",Tidak ada,True,https://glints.com/id/opportunities/jobs/it-software-developer-supervisor/05fab4af-0827-43e0-9257-1fddd07568f7,,,
